nodos,ejes,dijkstra_basico,dijkstra_prioridad 
2, 1,0.012025 ,0.012889
3, 3,0.03636 ,0.040406
4, 6,0.055883 ,0.066299
5, 10,0.11115 ,0.127274
6, 15,0.190448 ,0.219446
7, 21,0.343463 ,0.360476
8, 28,0.408601 ,0.48886
9, 36,0.635122 ,0.746496
10, 45,0.844499 ,1.026
11, 55,1.174 ,1.27624
12, 66,1.33311 ,1.55113
13, 78,1.69034 ,1.96636
14, 91,2.21682 ,2.57273
15, 105,2.82423 ,3.25432
16, 120,3.25797 ,3.6191
17, 136,3.99408 ,4.51275
18, 153,4.66521 ,5.27178
19, 171,5.67354 ,6.89483
20, 190,6.34166 ,7.0458
21, 210,7.09806 ,7.92618
22, 231,8.28799 ,9.03398
23, 253,9.44605 ,10.4628
24, 276,10.3666 ,11.3355
25, 300,11.6455 ,12.7448
26, 325,13.6545 ,15.0601
27, 351,14.9168 ,16.446
28, 378,17.7203 ,19.0329
29, 406,18.6386 ,20.0619
30, 435,20.2075 ,21.7273
31, 465,22.6415 ,24.3307
32, 496,25.2627 ,27.4635
33, 528,27.1384 ,28.991
34, 561,29.4762 ,31.754
35, 595,32.6942 ,35.8783
36, 630,35.3796 ,38.2349
37, 666,38.9394 ,41.0218
38, 703,41.1522 ,43.4493
39, 741,44.0294 ,46.2349
40, 780,49.9808 ,52.9464
41, 820,50.303 ,54.358
42, 861,56.0511 ,58.9634
43, 903,58.8807 ,63.1328
44, 946,64.8305 ,67.1097
45, 990,68.3708 ,72.4208
46, 1035,71.5376 ,75.3859
47, 1081,79.517 ,84.0594
48, 1128,84.1342 ,88.8209
49, 1176,88.4988 ,93.0346
50, 1225,94.0039 ,99.0067
51, 1275,97.8531 ,103.051
52, 1326,104.951 ,110.007
53, 1378,113.08 ,118.629
54, 1431,113.941 ,119.558
55, 1485,123.857 ,129.354
56, 1540,133.414 ,137.87
57, 1596,140.14 ,144.659
58, 1653,144.364 ,148.438
59, 1711,157.681 ,162.565
60, 1770,162.401 ,168.893
61, 1830,166.771 ,175.116
62, 1891,177.989 ,183.608
63, 1953,187.502 ,195.071
64, 2016,192.43 ,201.861
65, 2080,204.53 ,208.807
66, 2145,210.696 ,217.492
67, 2211,222.093 ,230.951
68, 2278,231.096 ,241.051
69, 2346,245.191 ,252.589
70, 2415,250.245 ,256.802
71, 2485,267.674 ,281.789
72, 2556,278.128 ,290.485
73, 2628,291.264 ,301.168
74, 2701,299.957 ,314.722
75, 2775,309.811 ,318.777
76, 2850,322.745 ,333.525
77, 2926,336.076 ,343.041
78, 3003,348.543 ,355.199
79, 3081,367.404 ,378.297
80, 3160,380.708 ,393.123
81, 3240,399.931 ,403.306
82, 3321,408.228 ,418.537
83, 3403,421.984 ,431.161
84, 3486,437.179 ,448.713
85, 3570,449.24 ,459.86
86, 3655,469.058 ,476.579
87, 3741,490.188 ,500.066
88, 3828,505.639 ,513.691
89, 3916,518.161 ,522.27
90, 4005,535.402 ,544.401
91, 4095,553.373 ,559.063
92, 4186,571.355 ,579.766
93, 4278,593.92 ,599.063
94, 4371,619.44 ,621.112
95, 4465,636.18 ,643.653
96, 4560,653.186 ,664.24
97, 4656,670.234 ,674.931
98, 4753,696.718 ,709.719
99, 4851,710.157 ,721.14
100, 4950,740.8 ,749.347
101, 5050,758.883 ,763.663
102, 5151,799.821 ,798.745
103, 5253,806.236 ,814.334
104, 5356,843.213 ,845.083
105, 5460,852.331 ,858.248
106, 5565,876.59 ,881.114
107, 5671,910.857 ,918.475
108, 5778,930.92 ,942.892
109, 5886,952.437 ,967.805
110, 5995,987.075 ,996.797
111, 6105,1006.92 ,1008.97
112, 6216,1033.9 ,1046.36
113, 6328,1072.01 ,1081.04
114, 6441,1080.29 ,1077.06
115, 6555,1137.16 ,1139.67
116, 6670,1158.29 ,1162.99
117, 6786,1195.04 ,1197.68
118, 6903,1223.2 ,1226.07
119, 7021,1256.03 ,1254.11
120, 7140,1279.78 ,1279.7
121, 7260,1310.61 ,1314.12
122, 7381,1332.52 ,1325.38
123, 7503,1375.9 ,1370.61
124, 7626,1408.88 ,1417.32
125, 7750,1465.64 ,1461.27
126, 7875,1489.87 ,1485.1
127, 8001,1504.45 ,1506.51
128, 8128,1552.5 ,1548.77
129, 8256,1580.08 ,1586.33
130, 8385,1624.83 ,1618.42
131, 8515,1657.31 ,1654.92
132, 8646,1689.44 ,1682.36
133, 8778,1737.04 ,1734.48
134, 8911,1769.97 ,1760.03
135, 9045,1845.41 ,1833.98
136, 9180,1877.03 ,1857.06
137, 9316,1909.09 ,1903.69
138, 9453,1954.73 ,1945.32
139, 9591,1986.38 ,1971.94
140, 9730,2030.34 ,2013.73
141, 9870,2075.93 ,2063.72
142, 10011,2111.37 ,2091.81
143, 10153,2176.32 ,2169.42
144, 10296,2197.34 ,2186.53
145, 10440,2270.26 ,2254.83
146, 10585,2298.6 ,2268.06
147, 10731,2359.65 ,2349.01
148, 10878,2383.32 ,2370.15
149, 11026,2437.01 ,2412.86
150, 11175,2491.78 ,2472.98
151, 11325,2554.4 ,2529.02
152, 11476,2583.41 ,2557.51
153, 11628,2676.74 ,2654.52
154, 11781,2693.81 ,2658.49
155, 11935,2755.43 ,2730.81
156, 12090,2797.08 ,2760.43
157, 12246,2876.88 ,2845.4
158, 12403,2935.25 ,2899.65
159, 12561,2983.4 ,2938.21
160, 12720,3025.94 ,2978.56
161, 12880,3099.02 ,3065.76
162, 13041,3155.76 ,3112.13
163, 13203,3201.35 ,3169.95
164, 13366,3259.61 ,3215.6
165, 13530,3318.6 ,3278.21
166, 13695,3400.39 ,3347.01
167, 13861,3487.31 ,3434.47
168, 14028,3526.99 ,3485.45
169, 14196,3579.88 ,3534.77
170, 14365,3612.08 ,3561.37
171, 14535,3701.03 ,3648.45
172, 14706,3762.3 ,3711.54
173, 14878,3816.84 ,3767.06
174, 15051,3886.61 ,3830.49
175, 15225,3980.64 ,3927.81
176, 15400,4029.47 ,3962.54
177, 15576,4091.08 ,4028.79
178, 15753,4149.63 ,4079.22
179, 15931,4201.78 ,4149.33
180, 16110,4301.32 ,4225.36
181, 16290,4405.78 ,4328.21
182, 16471,4470.44 ,4382.68
183, 16653,4562.27 ,4463.16
184, 16836,4566.88 ,4490.64
185, 17020,4677.92 ,4605.84
186, 17205,4726.9 ,4647.55
187, 17391,4780.17 ,4704.73
188, 17578,4872.49 ,4799.84
189, 17766,4998.17 ,4910.05
190, 17955,4986.78 ,4901.6
191, 18145,5119.87 ,5053.74
192, 18336,5226.56 ,5144.29
193, 18528,5327.65 ,5224.99
194, 18721,5355.72 ,5257.98
195, 18915,5472.11 ,5356.34
196, 19110,5554.16 ,5465.41
197, 19306,5667.86 ,5568.59
198, 19503,5748.01 ,5603.04
199, 19701,5833.35 ,5733.67
200, 19900,5892.06 ,5771.9
201, 20100,5983.6 ,5862.17
202, 20301,6067.6 ,5954.03
203, 20503,6134.06 ,6040.42
204, 20706,6241.97 ,6129.78
205, 20910,6352.16 ,6245.28
206, 21115,6449.68 ,6362.08
207, 21321,6557.52 ,6412.17
208, 21528,6633.84 ,6488.37
209, 21736,6717.64 ,6576.96
210, 21945,6839.46 ,6698.82
211, 22155,6956.5 ,6828.59
212, 22366,7023.03 ,6878
213, 22578,7190.25 ,7005.56
