nodos,ejes,bellman,dijkstra_basico,dijkstra_prioridad 
2, 1,0.012529 ,0.010859 ,0.013321
3, 2,0.020281 ,0.022218 ,0.025999
4, 3,0.032023 ,0.038358 ,0.046761
5, 4,0.055518 ,0.064077 ,0.076503
6, 5,0.082199 ,0.097237 ,0.116578
7, 6,0.053021 ,0.188214 ,0.103311
8, 7,0.081157 ,0.174324 ,0.15067
9, 8,0.149547 ,0.222944 ,0.283731
10, 9,0.192796 ,0.261657 ,0.375358
11, 10,0.188056 ,0.350599 ,0.331763
12, 11,0.210126 ,0.382228 ,0.345002
13, 12,0.307009 ,0.475479 ,0.501678
14, 13,0.491634 ,0.613738 ,0.694582
15, 14,0.326473 ,0.622492 ,0.606635
16, 15,0.484672 ,0.778747 ,0.724641
17, 16,0.497754 ,0.835569 ,0.791995
18, 17,0.515279 ,0.974019 ,0.963812
19, 18,0.541947 ,1.04827 ,0.921446
20, 19,0.882897 ,1.29376 ,1.37794
21, 20,0.79576 ,1.40099 ,1.41896
22, 21,0.62755 ,1.48246 ,1.21204
23, 22,0.560588 ,1.62365 ,1.23161
24, 23,0.700904 ,1.8663 ,1.43126
25, 24,0.703588 ,1.97316 ,1.50183
26, 25,1.72117 ,2.45657 ,2.3683
27, 26,0.916539 ,2.33922 ,1.73163
28, 27,1.24087 ,2.7032 ,2.20316
29, 28,1.17185 ,2.89707 ,2.06205
30, 29,1.1751 ,3.12525 ,2.28345
31, 30,1.05627 ,3.34371 ,2.37675
32, 31,1.99055 ,3.75851 ,3.00775
33, 32,1.11631 ,3.74274 ,2.45598
34, 33,2.11972 ,4.42158 ,3.63078
35, 34,2.5412 ,4.73398 ,3.87675
36, 35,2.94363 ,5.10722 ,4.20791
37, 36,1.20979 ,4.93948 ,2.92148
38, 37,2.34836 ,5.66366 ,4.25818
39, 38,3.06317 ,5.98115 ,4.61323
40, 39,3.90726 ,6.76732 ,5.32089
41, 40,4.04215 ,7.08407 ,5.2811
42, 41,3.37528 ,7.33892 ,5.46919
43, 42,3.02463 ,7.5379 ,5.31329
44, 43,3.51376 ,7.95982 ,5.7788
45, 44,5.64415 ,8.93236 ,7.11343
46, 45,5.10973 ,9.32317 ,6.85
47, 46,3.01044 ,9.15829 ,5.527
48, 47,5.19672 ,10.6254 ,8.11567
49, 48,5.84022 ,10.922 ,8.19533
50, 49,5.54942 ,11.6532 ,8.73428
51, 50,4.13038 ,11.64 ,7.65085
52, 51,8.07019 ,13.1977 ,10.4309
53, 52,6.80426 ,13.4425 ,9.6626
54, 53,7.90172 ,14.2448 ,10.469
55, 54,2.97681 ,13.1188 ,6.8415
56, 55,7.78995 ,15.2679 ,10.9084
57, 56,9.22029 ,16.234 ,11.6271
58, 57,4.02442 ,15.4549 ,8.24107
59, 58,7.82888 ,16.8392 ,11.0326
60, 59,6.86914 ,17.546 ,10.4562
61, 60,6.13865 ,18.1456 ,10.8707
62, 61,7.47567 ,19.3625 ,11.3256
63, 62,13.1047 ,21.2683 ,15.3872
64, 63,11.3771 ,21.9327 ,15.3616
65, 64,6.63291 ,21.4815 ,12.8531
66, 65,7.88295 ,22.6059 ,13.2949
67, 66,18.1646 ,25.2318 ,17.8578
68, 67,7.92088 ,24.1369 ,13.2856
69, 68,6.21368 ,23.8692 ,11.1023
70, 69,9.08312 ,26.1724 ,14.5991
71, 70,15.7506 ,28.449 ,18.3931
72, 71,6.60004 ,27.3545 ,13.3733
73, 72,11.8101 ,29.5965 ,18.1363
74, 73,19.536 ,31.3964 ,19.8175
75, 74,10.9575 ,31.7339 ,17.8798
76, 75,6.66394 ,31.1843 ,14.067
77, 76,6.98095 ,32.0409 ,14.5097
78, 77,8.65862 ,33.273 ,15.5841
79, 78,19.3292 ,37.0422 ,22.9348
80, 79,13.7553 ,37.7057 ,22.2234
81, 80,22.938 ,40.2702 ,25.4039
82, 81,9.51637 ,38.488 ,17.4228
83, 82,5.9046 ,38.0581 ,14.9088
84, 83,20.1751 ,41.9684 ,22.2706
85, 84,9.70259 ,41.5666 ,18.7262
86, 85,15.741 ,45.6353 ,24.728
87, 86,18.094 ,47.2196 ,26.5198
88, 87,21.5757 ,49.3165 ,28.7465
89, 88,19.991 ,50.1836 ,28.3918
90, 89,16.808 ,51.0811 ,27.4269
91, 90,24.4447 ,53.3997 ,30.9134
92, 91,20.5686 ,53.5207 ,28.0857
93, 92,41.6178 ,57.1816 ,33.0657
94, 93,22.5666 ,57.4049 ,30.5224
95, 94,32.3859 ,60.6286 ,35.8489
96, 95,14.1636 ,58.4438 ,25.1839
97, 96,17.3005 ,60.0227 ,25.8885
98, 97,28.248 ,65.5536 ,35.83
99, 98,13.1311 ,62.5107 ,24.2337
100, 99,20.4186 ,66.4871 ,31.6168
101, 100,11.98 ,65.9447 ,25.1619
102, 101,19.7829 ,68.5187 ,28.1654
103, 102,20.7274 ,71.9392 ,33.5303
104, 103,12.5174 ,69.6274 ,25.8096
105, 104,19.5465 ,74.7684 ,32.9183
106, 105,40.5385 ,80.5471 ,43.5824
107, 106,11.5464 ,75.3504 ,26.33
108, 107,20.301 ,80.3436 ,34.7984
109, 108,31.7649 ,84.0488 ,38.3804
110, 109,35.4064 ,87.0105 ,42.7109
111, 110,32.3059 ,89.8501 ,45.1754
112, 111,22.9968 ,90.0782 ,40.6951
113, 112,38.8079 ,95.8122 ,49.9553
114, 113,38.8037 ,97.4968 ,50.3051
115, 114,41.7796 ,99.0069 ,48.8663
116, 115,20.5679 ,96.3848 ,35.795
117, 116,30.051 ,102.841 ,47.7433
118, 117,20.6587 ,100.558 ,38.847
119, 118,48.0703 ,109.935 ,54.9621
120, 119,25.5798 ,107.962 ,45.3513
121, 120,22.2986 ,108.313 ,40.4408
122, 121,57.7575 ,117.844 ,60.4574
123, 122,55.217 ,119.04 ,56.1532
124, 123,47.5744 ,122.708 ,60.9049
125, 124,27.3537 ,119.862 ,47.7008
126, 125,38.4308 ,126.978 ,58.0027
127, 126,15.1484 ,121.496 ,36.8504
128, 127,29.2863 ,127.726 ,50.4194
129, 128,35.5778 ,131.673 ,52.4986
130, 129,36.0999 ,135.679 ,57.8925
131, 130,64.3998 ,139.636 ,63.1127
132, 131,28.0969 ,136.228 ,49.5378
133, 132,20.8125 ,136.185 ,43.3717
134, 133,45.8521 ,147.991 ,67.0266
135, 134,35.9753 ,146.319 ,53.7357
136, 135,42.4439 ,152.794 ,61.5269
137, 136,41.4476 ,155.854 ,60.5271
138, 137,55.8138 ,162.639 ,71.4589
139, 138,42.1425 ,162.592 ,65.435
140, 139,32.6436 ,161.117 ,54.6438
141, 140,69.2021 ,171.807 ,75.1926
142, 141,81.3841 ,177.977 ,80.3373
143, 142,62.8493 ,177.996 ,76.1865
144, 143,18.5879 ,167.463 ,45.6061
145, 144,23.9369 ,175.16 ,52.0115
146, 145,25.253 ,177.704 ,52.6811
147, 146,66.139 ,193.483 ,83.3724
148, 147,32.4387 ,187.815 ,58.8769
149, 148,59.5043 ,196.99 ,77.0295
150, 149,91.3438 ,206.055 ,87.6064
151, 150,30.1813 ,195.095 ,58.1736
152, 151,81.8274 ,210.247 ,87.9794
153, 152,40.3864 ,207.521 ,68.3495
154, 153,75.2528 ,218.566 ,88.9806
155, 154,97.9524 ,225.424 ,99.4717
156, 155,85.9927 ,227.637 ,97.1537
157, 156,52.6409 ,226.406 ,84.9513
158, 157,47.3426 ,227.363 ,76.7175
159, 158,68.9313 ,236.335 ,89.0614
160, 159,79.8899 ,242.578 ,98.4274
161, 160,73.3765 ,244.646 ,91.7506
162, 161,34.1231 ,238.566 ,68.6544
163, 162,96.9847 ,256.698 ,105.926
164, 163,50.4775 ,248.687 ,75.8566
165, 164,76.0548 ,261.55 ,97.754
166, 165,94.4722 ,267.957 ,106.259
167, 166,115.082 ,275.491 ,112.505
168, 167,58.5317 ,272.576 ,93.0809
169, 168,89.7377 ,284.05 ,107.309
170, 169,82.3702 ,280.543 ,98.722
171, 170,68.8394 ,286.92 ,100.462
172, 171,114.712 ,299.199 ,120.04
173, 172,44.7981 ,287.247 ,80.8828
174, 173,103.366 ,306.488 ,117.115
175, 174,49.2053 ,298.87 ,92.3337
176, 175,86.5494 ,313.124 ,111.162
177, 176,98.9882 ,318.027 ,116.286
178, 177,86.6654 ,322.289 ,110.744
179, 178,67.7734 ,322.392 ,102.198
180, 179,110.955 ,338.856 ,130.167
181, 180,105.107 ,339.031 ,121.19
182, 181,84.3136 ,336.948 ,104.628
183, 182,114.069 ,346.838 ,118.319
184, 183,70.1445 ,348.872 ,111.002
185, 184,132.809 ,356.237 ,119.242
186, 185,83.4638 ,362.186 ,121.143
187, 186,104.06 ,371.389 ,132.822
188, 187,93.3054 ,372.406 ,117.475
189, 188,58.1976 ,370.761 ,99.8879
190, 189,102.161 ,389.179 ,134.307
191, 190,74.5259 ,391.403 ,127.945
192, 191,61.1151 ,383.243 ,104.249
193, 192,82.3538 ,396.773 ,118.028
194, 193,67.9246 ,396.636 ,106.779
195, 194,135.388 ,423.373 ,153.72
196, 195,76.5598 ,415.884 ,120.762
197, 196,105.569 ,427.159 ,139.366
198, 197,121.181 ,434.923 ,145.876
199, 198,125.608 ,441.988 ,146.597
200, 199,127.183 ,452.259 ,162.898
201, 200,121.822 ,452.695 ,146.068
202, 201,133.954 ,464.661 ,162.445
203, 202,152.091 ,465.102 ,150.065
204, 203,128.069 ,471.507 ,154.783
205, 204,93.3138 ,475.483 ,144.933
206, 205,189.756 ,495.282 ,176.629
207, 206,96.3163 ,481.687 ,131.86
208, 207,56.0712 ,475.297 ,101.883
209, 208,85.4676 ,487.012 ,122.705
210, 209,55.5014 ,487.647 ,106.431
211, 210,153.638 ,521.472 ,168.732
