nodos,ejes ,BellmanFord,dijkstra_basico,dijkstra_prioridad 
2, 1,0.011089 ,0.009332 ,0.011685
3, 3,0.023227 ,0.024088 ,0.029693
4, 6,0.04142 ,0.050192 ,0.058942
5, 10,0.074586 ,0.078882 ,0.09908
6, 15,0.220415 ,0.141865 ,0.186087
7, 21,0.163319 ,0.197108 ,0.231666
8, 28,0.29943 ,0.278809 ,0.343813
9, 36,0.398084 ,0.380076 ,0.514683
10, 45,0.767216 ,0.541023 ,0.663442
11, 55,0.801396 ,0.708191 ,0.90827
12, 66,1.38707 ,0.875541 ,1.0699
13, 78,1.16767 ,1.02874 ,1.2148
14, 91,2.93172 ,1.34746 ,1.61935
15, 105,2.25696 ,1.60194 ,1.99299
16, 120,3.13191 ,2.05033 ,2.33679
17, 136,2.83048 ,2.24054 ,2.63353
18, 153,4.62089 ,2.85194 ,3.41836
19, 171,7.23538 ,3.20277 ,3.8556
20, 190,6.83434 ,3.79682 ,4.47831
21, 210,5.51978 ,4.29933 ,4.91354
22, 231,7.06873 ,4.91904 ,5.71764
23, 253,10.4776 ,5.75089 ,6.7789
24, 276,12.1944 ,6.47967 ,7.47823
25, 300,13.5002 ,6.90762 ,7.89336
26, 325,12.3795 ,7.91038 ,9.28279
27, 351,13.5645 ,8.77963 ,10.0909
28, 378,20.3414 ,9.73387 ,11.3505
29, 406,14.5989 ,10.8424 ,12.4818
30, 435,21.7859 ,12.298 ,14.233
31, 465,24.0411 ,13.3616 ,14.9578
32, 496,25.5156 ,14.3814 ,16.3028
33, 528,30.3523 ,15.605 ,18.2275
34, 561,32.7182 ,17.1751 ,19.2242
35, 595,36.6182 ,19.0156 ,20.8289
36, 630,42.999 ,19.8855 ,22.5343
37, 666,33.891 ,21.7394 ,24.586
38, 703,55.3704 ,23.9496 ,26.6213
39, 741,64.2398 ,25.6643 ,28.8485
40, 780,50.0004 ,27.4901 ,30.2987
41, 820,60.5494 ,29.4908 ,32.4659
42, 861,75.0758 ,31.7071 ,34.5425
43, 903,77.5959 ,32.9664 ,35.9877
44, 946,77.9035 ,36.2651 ,39.3817
45, 990,66.7237 ,37.5261 ,41.1838
46, 1035,90.8949 ,42.1305 ,44.9963
47, 1081,124.684 ,44.6156 ,48.4221
48, 1128,93.9014 ,46.2784 ,50.1458
49, 1176,115.802 ,50.6693 ,55.7485
50, 1225,111.987 ,52.0236 ,56.3861
51, 1275,130.244 ,56.2276 ,60.4248
52, 1326,132.11 ,60.2755 ,64.9647
53, 1378,111.265 ,62.4238 ,66.5486
54, 1431,146.751 ,66.2257 ,70.2046
55, 1485,136.409 ,70.3184 ,75.4958
56, 1540,175.107 ,74.3648 ,79.5821
57, 1596,141.861 ,76.4516 ,83.0103
58, 1653,151.693 ,80.4505 ,85.861
59, 1711,215.398 ,85.3925 ,92.6306
60, 1770,177.995 ,88.7088 ,94.9535
61, 1830,208.914 ,92.8894 ,97.2348
62, 1891,211.059 ,98.3173 ,103.423
63, 1953,225.002 ,103.506 ,111.592
64, 2016,239.136 ,110.344 ,117.411
65, 2080,218.834 ,113.005 ,119.079
66, 2145,257.964 ,117.934 ,125.951
67, 2211,266.867 ,124.301 ,132.978
68, 2278,276.354 ,128.25 ,136.078
69, 2346,395.491 ,136.004 ,143.529
70, 2415,327.325 ,142.525 ,148.817
71, 2485,360.636 ,149.073 ,156.923
72, 2556,377.9 ,154.491 ,162.373
73, 2628,418.581 ,162.695 ,170.947
74, 2701,421.479 ,167.189 ,176.251
75, 2775,355.058 ,172.674 ,177.631
76, 2850,427.111 ,180.757 ,191.596
77, 2926,409.144 ,186.272 ,194.102
78, 3003,424.784 ,194.652 ,203.474
79, 3081,483.362 ,202.139 ,208.148
80, 3160,423.86 ,211.029 ,217.425
81, 3240,417.047 ,217.939 ,227.667
82, 3321,435.403 ,225.801 ,232.974
83, 3403,519.783 ,233.308 ,242.505
84, 3486,678.246 ,241.681 ,248.817
85, 3570,565.546 ,248.404 ,255.93
86, 3655,604.327 ,264.734 ,270.943
87, 3741,493.76 ,265.416 ,275.154
88, 3828,558.363 ,274.38 ,281.42
89, 3916,612.348 ,288.003 ,292.297
90, 4005,621.852 ,294.298 ,304.509
91, 4095,619.552 ,305.856 ,311.59
92, 4186,654.16 ,316.454 ,320.263
93, 4278,883.182 ,329.725 ,338.406
94, 4371,748.578 ,338.969 ,346.876
95, 4465,613.684 ,347.868 ,355.604
96, 4560,959.37 ,365.027 ,371.652
97, 4656,885.842 ,372.686 ,380.573
98, 4753,793.125 ,379.363 ,388.422
99, 4851,775.412 ,391.867 ,396.899
100, 4950,902.665 ,408.419 ,413.791
101, 5050,741.82 ,413.425 ,419.055
102, 5151,873.773 ,428.727 ,435.797
103, 5253,930.931 ,444.505 ,451.078
104, 5356,1118.49 ,459.917 ,466.425
105, 5460,947.22 ,468.843 ,477.72
106, 5565,918.062 ,481.313 ,485.199
107, 5671,1003.36 ,496.177 ,502.306
108, 5778,1165.89 ,512.033 ,523.23
109, 5886,1363.28 ,523.386 ,526.467
110, 5995,1528.08 ,545.393 ,550.365
111, 6105,1312.31 ,556.665 ,561.695
112, 6216,1312.53 ,569.57 ,573.872
113, 6328,1216.83 ,592.15 ,594.384
114, 6441,1268.16 ,602.941 ,602.824
115, 6555,1521.9 ,620.957 ,625.441
116, 6670,1508.61 ,630.899 ,636.509
117, 6786,1301.14 ,648.884 ,653.223
118, 6903,1631.49 ,666.335 ,672.001
119, 7021,1593.71 ,682.034 ,678.796
120, 7140,1335.35 ,693.937 ,697.542
121, 7260,1445.43 ,712.489 ,714.268
122, 7381,1714.3 ,730.167 ,730.826
123, 7503,1514.54 ,743.161 ,748.349
124, 7626,1673.85 ,771.658 ,774.245
125, 7750,2301.58 ,795.112 ,797.109
126, 7875,1681.52 ,805.732 ,804.017
127, 8001,1565.11 ,835.366 ,832.829
128, 8128,1858.44 ,848.729 ,846.492
129, 8256,1910.85 ,865.81 ,864.658
130, 8385,2278.74 ,887.185 ,883.728
131, 8515,2038.09 ,906.327 ,904.372
132, 8646,1883.48 ,920.172 ,916.099
133, 8778,1975.1 ,948.537 ,941.958
134, 8911,1919.09 ,962.292 ,945.175
135, 9045,2447.18 ,996.652 ,991.457
136, 9180,2404.1 ,1015.9 ,1005.24
137, 9316,2092.46 ,1029.7 ,1021.97
138, 9453,2545.75 ,1062.35 ,1049.11
139, 9591,2121.12 ,1085.09 ,1069.71
140, 9730,2904.3 ,1112.79 ,1108.07
141, 9870,2829.61 ,1138.19 ,1128.96
142, 10011,2644.86 ,1158.77 ,1146.23
143, 10153,2588.69 ,1176.45 ,1164.73
144, 10296,3042.09 ,1196.62 ,1186.78
145, 10440,2937.26 ,1238.96 ,1230.42
146, 10585,2914.15 ,1254.66 ,1232.47
147, 10731,2637.85 ,1279.72 ,1262.46
148, 10878,2879.96 ,1301.26 ,1271.7
149, 11026,2469.91 ,1328.72 ,1310.72
150, 11175,3104.97 ,1358.46 ,1344.01
151, 11325,3411.8 ,1400.19 ,1375.13
152, 11476,3493.42 ,1413.53 ,1397.54
153, 11628,2877.32 ,1435.27 ,1416.29
154, 11781,3217.89 ,1471.98 ,1448.84
155, 11935,4263.38 ,1519.53 ,1495.61
156, 12090,3884.56 ,1531.65 ,1497.54
157, 12246,4356.23 ,1573.41 ,1545.69
158, 12403,3484.09 ,1578.8 ,1543.56
159, 12561,3235.84 ,1611.59 ,1586.77
160, 12720,3852.36 ,1647.23 ,1622.8
161, 12880,3977.63 ,1681.78 ,1650.1
162, 13041,3151.31 ,1698.13 ,1663.02
163, 13203,3579.23 ,1742.38 ,1715.99
164, 13366,4307.38 ,1773.13 ,1742.83
165, 13530,3606.68 ,1805.61 ,1756.97
166, 13695,3451.72 ,1823.3 ,1776.82
167, 13861,3697.6 ,1865.06 ,1816.35
168, 14028,3374.2 ,1883.19 ,1839.12
169, 14196,4606.89 ,1956.01 ,1911.62
170, 14365,4451.7 ,1983.09 ,1939.62
171, 14535,4750.28 ,2033.24 ,1982.04
172, 14706,5321.98 ,2043.2 ,1985.66
173, 14878,4226.22 ,2098.58 ,2046.39
174, 15051,4350.06 ,2097.81 ,2051.81
175, 15225,5360.17 ,2163.6 ,2107.56
176, 15400,5207.24 ,2186.67 ,2135.4
177, 15576,4623.65 ,2228.23 ,2165.39
178, 15753,4894.66 ,2258.83 ,2195.82
179, 15931,4785.02 ,2311.93 ,2241.03
180, 16110,4941.57 ,2338.64 ,2273.95
181, 16290,4913.02 ,2383.15 ,2320.7
182, 16471,5004.75 ,2411.38 ,2346.75
183, 16653,5260.9 ,2454.44 ,2388.8
184, 16836,5376.91 ,2478.46 ,2411.92
185, 17020,5696.41 ,2563.57 ,2500.65
186, 17205,5664.02 ,2581.97 ,2510
187, 17391,7262.78 ,2650.32 ,2567.13
188, 17578,6044.56 ,2662.39 ,2585.5
189, 17766,6674.94 ,2734.22 ,2643.72
190, 17955,7103.19 ,2737.58 ,2659.84
191, 18145,6055.34 ,2793.95 ,2713.4
192, 18336,6604.06 ,2844.49 ,2765.59
193, 18528,6308.12 ,2885.32 ,2798.38
194, 18721,6320.22 ,2913.84 ,2825.95
195, 18915,7372.88 ,2999.72 ,2900.47
196, 19110,6882.63 ,3018.83 ,2919.79
197, 19306,5746.8 ,3046.48 ,2951.82
198, 19503,5907.88 ,3095.26 ,2997.6
199, 19701,7684.59 ,3178.13 ,3061.14
200, 19900,6199.89 ,3171.22 ,3061.57
201, 20100,6657.92 ,3270.49 ,3152.7
202, 20301,6863.98 ,3284.44 ,3185.84
203, 20503,7092.89 ,3350.44 ,3245.69
204, 20706,7379.51 ,3403.61 ,3282.1
205, 20910,7677.7 ,3448.86 ,3332.47
206, 21115,7204.03 ,3476.09 ,3367.03
207, 21321,8488.93 ,3555.32 ,3430.94
208, 21528,7485.41 ,3589.51 ,3460.55
209, 21736,7935.29 ,3671.03 ,3540.68
210, 21945,8161.68 ,3703.56 ,3556.63
211, 22155,7334.47 ,3752.93 ,3602.05
212, 22366,7293.94 ,3772.05 ,3646.8
213, 22578,7772.01 ,3850.16 ,3702.55
214, 22791,9485.66 ,3900.42 ,3740.53
215, 23005,8145.48 ,3972.99 ,3815.59
216, 23220,8961.54 ,4012.61 ,3865.84
217, 23436,8985.51 ,4077.39 ,3919.74
218, 23653,8395.33 ,4111.09 ,3952.15
219, 23871,8665.73 ,4178.84 ,4018.79
220, 24090,9170.85 ,4236.02 ,4056.46
221, 24310,10299.9 ,4338.21 ,4158.48
222, 24531,8487.46 ,4342.77 ,4153.98
223, 24753,9227.65 ,4411.67 ,4260.35
224, 24976,9616.64 ,4499.49 ,4328.15
225, 25200,11190.5 ,4579.73 ,4401.33
226, 25425,9202.68 ,4588.42 ,4402.07
227, 25651,10412.4 ,4688.85 ,4494.19
228, 25878,10513.7 ,4747.28 ,4538.21
229, 26106,10296.1 ,4839.4 ,4635.09
230, 26335,9563 ,4842.78 ,4654.04
231, 26565,9159.66 ,4899.99 ,4689.84
232, 26796,9736.17 ,4966.84 ,4767.21
233, 27028,10036.1 ,5047.97 ,4838.61
234, 27261,13204.3 ,5116.24 ,4897.02
235, 27495,9363.67 ,5166 ,4943.39
236, 27730,12960.3 ,5254.2 ,5017.11
237, 27966,11490.3 ,5311.3 ,5085.27
238, 28203,11759.5 ,5318.9 ,5089.25
239, 28441,11537.8 ,5450.57 ,5213.08
240, 28680,11270.4 ,5491.84 ,5255.97
241, 28920,9525.85 ,5554.78 ,5308.6
